BE_dados_as.dat,CPS_dados_as.dat,SiO2 3/2_1_dados_as.dat,SiO2 1/2_2_dados_as.dat,Si 3/2_3_dados_as.dat,Si 1/2_4_dados_as.dat,Si 1+ 3/2_5_dados_as.dat,Si 1+ 1/2_6_dados_as.dat,Si 3+ 3/2_7_dados_as.dat,Si 3+ 1/2_8_dados_as.dat,Background_dados_as.dat,Envelope_dados_as.dat,Normalised_Residual_dados_as.dat,Residual_dados_as.dat
106.74,46.0669,46.4994,46.3654,46.0761,46.0745,46.0809,46.0753,46.2064,46.1565,46.0669,47.0662,0,0
106.72,46.5615,46.9983,46.8635,46.5708,46.5692,46.5756,46.57,46.7021,46.6519,46.5615,47.5708,0,0
106.7,46.1532,46.5944,46.4588,46.1625,46.1609,46.1673,46.1618,46.2949,46.2444,46.1532,47.1726,0,0
106.68,46.64,47.0857,46.9492,46.6494,46.6477,46.6542,46.6486,46.7828,46.732,46.64,47.6697,0,0
106.66,45.8863,46.3365,46.1992,45.8957,45.8941,45.9006,45.895,46.0303,45.9791,45.8863,46.9264,0,0
106.64,47.0561,47.5109,47.3727,47.0656,47.0639,47.0705,47.0648,47.2012,47.1498,47.0561,48.1068,0,0
106.62,46.326,46.7855,46.6465,46.3355,46.3339,46.3405,46.3348,46.4723,46.4205,46.326,47.3875,0,0
106.6,47.1032,47.5675,47.4275,47.1128,47.1111,47.1178,47.112,47.2507,47.1986,47.1032,48.1756,0,0
106.58,45.2583,45.7274,45.5866,45.2679,45.2662,45.273,45.2672,45.407,45.3546,45.2583,46.3418,0,0
106.56,46.2003,46.6743,46.5326,46.21,46.2083,46.2151,46.2093,46.3502,46.2975,46.2003,47.2951,0,0
106.54,45.8392,46.3181,46.1756,45.8489,45.8472,45.8541,45.8482,45.9903,45.9373,45.8392,46.9454,0,0
106.52,45.117,45.601,45.4576,45.1268,45.1251,45.1319,45.1261,45.2694,45.216,45.117,46.2348,0,0
106.5,44.748,45.2371,45.0929,44.7578,44.7561,44.763,44.7571,44.9016,44.8479,44.748,45.8776,0,0
106.48,45.8471,46.3414,46.1963,45.857,45.8553,45.8622,45.8563,46.002,45.9479,45.8471,46.9887,0,0
106.46,44.7637,45.2633,45.1174,44.7736,44.7719,44.7789,44.773,44.9199,44.8655,44.7637,45.9176,0,0
106.44,44.8972,45.4022,45.2553,44.9072,44.9054,44.9125,44.9065,45.0547,45,44.8972,46.0634,0,0
106.42,43.9708,44.4812,44.3336,43.9808,43.9791,43.9862,43.9802,44.1296,44.0745,43.9708,45.1497,0,0
106.4,43.6489,44.1649,44.0163,43.6589,43.6572,43.6644,43.6584,43.809,43.7536,43.6489,44.8406,0,0
106.38,45.1327,45.6543,45.5049,45.1428,45.1411,45.1483,45.1422,45.2942,45.2385,45.1327,46.3374,0,0
106.36,44.2534,44.7807,44.6305,44.2636,44.2618,44.2691,44.263,44.4163,44.3602,44.2534,45.4714,0,0
106.34,41.914,42.4471,42.2961,41.9242,41.9225,41.9298,41.9237,42.0782,42.0218,41.914,43.1454,0,0
106.32,42.8953,43.4344,43.2825,42.9056,42.9038,42.9112,42.905,43.0609,43.0042,42.8953,44.1405,0,0
106.3,42.8403,43.3854,43.2326,42.8506,42.8489,42.8563,42.8501,43.0074,42.9502,42.8403,44.0995,0,0
106.28,43.5155,44.0667,43.9131,43.5259,43.5241,43.5316,43.5254,43.684,43.6265,43.5155,44.7889,0,0
106.26,42.7069,43.2643,43.1099,42.7174,42.7156,42.7231,42.7169,42.8769,42.819,42.7069,43.9948,0,0
106.24,42.1259,42.6896,42.5344,42.1364,42.1347,42.1422,42.1359,42.2973,42.2391,42.1259,43.4285,0,0
106.22,41.8119,42.3821,42.2261,41.8225,41.8207,41.8283,41.822,41.9848,41.9263,41.8119,43.1295,0,0
106.2,42.7147,42.346,42.1892,41.7799,41.7782,41.7858,41.7795,41.9438,41.8848,41.7693,43.1021,0.0592772,0.387415
106.18,43.3663,42.31,42.1525,41.7374,41.7356,41.7433,41.7369,41.9027,41.8434,41.7267,43.0751,-0.0442207,-0.291207
106.16,41.6627,42.2528,42.0945,41.6735,41.6717,41.6795,41.673,41.8403,41.7806,41.6627,43.0269,0,0
106.14,42.1259,42.2172,42.0582,41.631,41.6292,41.6371,41.6306,41.7993,41.7393,41.6202,43.0005,0.13476,0.87465
106.12,42.1809,42.1817,42.0221,41.5886,41.5868,41.5947,41.5882,41.7584,41.698,41.5777,42.9746,0.122202,0.79366
106.1,41.3566,41.9677,41.8074,41.3675,41.3657,41.3737,41.3671,41.5389,41.4782,41.3566,42.7701,0,0
106.08,42.1259,41.9335,41.7726,41.3261,41.3243,41.3323,41.3257,41.4991,41.4379,41.3151,42.7458,0.095516,0.619942
106.06,41.6784,41.8994,41.7379,41.2847,41.2829,41.291,41.2843,41.4593,41.3977,41.2736,42.7218,0.16162,1.0434
106.04,40.705,41.3382,41.1763,40.7161,40.7143,40.7224,40.7158,40.8923,40.8304,40.705,42.1709,0,0
